Station,latitude,longitude,Bot. Depth [m],SST,Sal_PSU,Fluresence,DO_uM/Kg
c1_01,30.55976667,122.5050333,30.84,20.2317,33.2686,0.0656,227.18556
c1_02,30.52371667,122.62545,30.84,19.3251,34.0187,-0.0139,229.80844
c1_03,30.49068333,122.7521333,41.45,19.1024,34.3262,-0.0765,230.27377
c1_04,30.45165,122.8813,48.67,19.3217,34.2461,-0.1375,229.47028
c1_05,30.40868333,123.0024333,52.67,19.6214,34.5022,-0.1181,227.83209
c1_07a,30.33593333,123.2570667,57.72,19.7262,34.5698,-0.0816,227.29547
c2_03a,31.55616667,121.348,24.47,26.0017,0.1349,0.3515,254.13851
c2_10,31.15203333,121.90995,9.31,26.522,0.1505,0.6561,251.76722
c2_12,31.06506667,122.0640667,7.19,26.3883,1.1769,0.173,250.72298
c2_13,31.00518333,122.1522333,7.06,25.6704,7.6273,0.703,243.68245
c2_15,30.90028333,122.3681,12.33,24.6436,16.4633,1.5421,234.44128
c2_16,30.86838333,122.4960167,17.05,22.0753,27.0619,0.2759,228.98507
c2_17,30.85591667,122.6275,25.31,20.0723,32.7381,0.3186,228.64733
c2_18,30.77303333,122.8319333,29.04,19.8787,33.4442,0.2592,228.3722
c2_19,30.72165,123.0014333,48.19,18.9348,34.4747,0.2288,230.75414
c2_20,30.66368333,123.1744333,52.9,19.5358,34.5447,-0.0154,228.12223
c2_7,31.29203333,121.7398,15.08,26.5886,0.1539,0.5974,251.46412
c2_8,31.24813333,121.7892833,10.34,26.3229,0.1417,0.4798,252.67461
c3_9b,31.36011667,122.0936333,8.09,26.2006,4.919,0.3611,245.64102
c3_10,31.34701667,122.1453,8.91,25.4541,9.4685,0.4519,241.74463
c3_11,31.35198333,122.2133667,7.81,25.751,5.0945,0.2993,247.2777
c3_12,31.34475,122.2948667,8.32,25.2415,9.569,0.2302,242.45051
c3_13,31.33828333,122.3721167,15.95,25.824,5.2322,0.3315,246.73924
c3_14,31.31825,122.4901167,24.14,20.2021,33.8486,-0.0765,226.43249
c3_15,31.25621667,122.6693667,37.71,20.1373,34.1398,-0.0154,226.25843
c3_16,31.20376667,122.8360833,48.83,19.8229,34.1713,0.9184,227.50156
c3_17,31.18323333,123.0061,60.04,19.8939,34.318,0.8241,226.98609
c3_18e,31.14461667,123.25005,55.47,20.107,34.4029,-0.0125,225.98533
c3_3a,31.48916667,121.6796,17.97,26.4675,0.126,0.4124,252.05071
c3_4,31.4577,121.7156833,17.05,26.6517,0.1275,0.4793,251.22507
c3_5a,31.40538333,121.8106,9.32,26.6637,0.1287,0.4734,251.16961
c3_6,31.38508333,121.8558333,13.54,26.7819,0.1298,0.3902,250.64104
c3_7,31.36201667,121.92285,12.87,26.6681,0.1282,0.3509,251.14959
c3_8,31.35378333,122.0236667,11.44,26.7364,0.13,0.4516,250.84329
c4_10,31.79061667,123.7645167,37.78,20.3579,31.932,0.7652,228.69182
c4_2,31.80361667,122.26035,22.56,21.3944,31.8956,1.43,224.53102
c4_3,31.80093333,122.3991833,23.37,20.9398,32.5952,0.8006,225.31696
c4_4,31.80043333,122.5511333,30.25,20.8135,33.0067,0.271,225.21259
c4_5,31.80183333,122.70175,35.29,20.9007,33.4826,0.1046,224.15207
c4_6,31.80246667,122.8509833,39.1,20.7073,33.8103,0.1895,224.44118
c4_7,31.80101667,123.00105,40.47,21.9306,32.6976,0.4494,221.2386
c4_8,31.79943333,123.25225,35.45,22.1954,32.312,-0.0776,220.77159
c4_9,31.79943333,123.5030167,35.44,22.2754,32.3562,0.2283,220.39786
